task,prompt,model,mode,accuracy,metric_name,auroc,auroc_gap_to_best,ece,ece_gap_to_best,brier,brier_gap_to_best,n_with_uncertainty,metrics_path
aime2024,sequential,Qwen/Qwen3-8B,anchor,0.6333333333333333,Uncertainty-Mean,0.7819548872180451,0.007518796992481258,0.12099358974358972,0.0,0.18524639423076922,0.009765625,26,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,google/gemma-3-12b-it,anchor,0.16666666666666666,Formula-Uncertainty-Final,0.5,0.08750000000000002,0.16221516927083332,0.02259724934895832,0.18217779199282327,0.01484983911116916,30,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,google/gemma-3-12b-it,anchor,0.16666666666666666,Formula-Uncertainty-Max,0.52,0.0675,0.17021484375,0.03059692382812501,0.17148021062215169,0.0041522577404975725,30,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,google/gemma-3-12b-it,anchor,0.16666666666666666,Formula-Uncertainty-Mean,0.548,0.03949999999999998,0.22514173719618052,0.08552381727430552,0.19595687881939938,0.02862892593774527,30,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,google/gemma-3-12b-it,anchor,0.16666666666666666,Hazard-h-Final,0.5875,0.0,0.139617919921875,0.0,0.1673279528816541,0.0,24,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,google/gemma-3-12b-it,anchor,0.16666666666666666,Hazard-h-Max,0.52,0.0675,0.17021484375,0.03059692382812501,0.17148021062215169,0.0041522577404975725,30,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,google/gemma-3-12b-it,anchor,0.16666666666666666,Hazard-h-Mean,0.548,0.03949999999999998,0.22514173719618052,0.08552381727430552,0.19595687881939938,0.02862892593774527,30,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,google/gemma-3-12b-it,anchor,0.16666666666666666,System-Uncertainty-Final,0.548,0.03949999999999998,0.21378049474111827,0.07416257481924327,0.19150580413100043,0.02417785124934632,30,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,google/gemma-3-12b-it,anchor,0.16666666666666666,Uncertainty-Final,0.52,0.0675,0.3916666666666666,0.2520487467447916,0.32708333333333334,0.15975538045167922,30,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,google/gemma-3-12b-it,anchor,0.16666666666666666,Uncertainty-Max,0.58,0.007500000000000062,0.3,0.160382080078125,0.225,0.05767204711834589,30,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_sequential_anchor_test_seed42_n30.json
aime2024,sequential,google/gemma-3-12b-it,anchor,0.16666666666666666,Uncertainty-Mean,0.568,0.019500000000000073,0.35000000000000003,0.21038208007812503,0.2648726851851852,0.09754473230353108,30,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_aime2024_sequential_anchor_test_seed42_n30.json
humanevalplus,hierarchical,Qwen/Qwen3-8B,anchor,0.9024390243902439,Formula-Uncertainty-Final,0.7111486486486487,0.0869932432432432,0.23472818514195887,0.18709099002000765,0.14851435648686276,0.07417651349905788,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,Qwen/Qwen3-8B,anchor,0.9024390243902439,Formula-Uncertainty-Max,0.7449324324324325,0.05320945945945943,0.23706240770293444,0.18942521258098322,0.14938931778164172,0.07505147479383684,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,Qwen/Qwen3-8B,anchor,0.9024390243902439,Formula-Uncertainty-Mean,0.792018581081081,0.006123310810810856,0.09530165137314212,0.04766445625119089,0.08067966115848366,0.006341818170678776,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,Qwen/Qwen3-8B,anchor,0.9024390243902439,Hazard-h-Final,0.7111486486486487,0.0869932432432432,0.23472818514195887,0.18709099002000765,0.14851435648686276,0.07417651349905788,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,Qwen/Qwen3-8B,anchor,0.9024390243902439,Hazard-h-Max,0.7299408783783784,0.06820101351351349,0.22778903371919457,0.18015183859724335,0.14719006727351167,0.07285222428570678,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,Qwen/Qwen3-8B,anchor,0.9024390243902439,Hazard-h-Mean,0.7736486486486487,0.0244932432432432,0.15907070501063894,0.11143350988868772,0.10249280132325544,0.028154958335450564,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,Qwen/Qwen3-8B,anchor,0.9024390243902439,System-Uncertainty-Final,0.7677364864864865,0.030405405405405372,0.15385345829987085,0.10621626317791963,0.10668861637517517,0.03235077338737029,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,Qwen/Qwen3-8B,anchor,0.9024390243902439,Uncertainty-Final,0.5620777027027027,0.23606418918918914,0.12347560975609757,0.07583841463414634,0.10022865853658537,0.02589081554878049,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,Qwen/Qwen3-8B,anchor,0.9024390243902439,Uncertainty-Max,0.737331081081081,0.060810810810810856,0.138719512195122,0.09108231707317077,0.09794207317073171,0.02360423018292683,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,Qwen/Qwen3-8B,anchor,0.9024390243902439,Uncertainty-Mean,0.7981418918918919,0.0,0.04763719512195123,0.0,0.07433784298780488,0.0,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,google/gemma-3-12b-it,anchor,0.7682926829268293,Formula-Uncertainty-Final,0.5476190476190477,0.09241854636591473,0.384318281964558,0.23645242830602137,0.3670345341741312,0.17534246100339948,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,google/gemma-3-12b-it,anchor,0.7682926829268293,Formula-Uncertainty-Max,0.5508563074352548,0.08918128654970758,0.38469937952553357,0.23683352586699696,0.36662961801559457,0.17493754484486287,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,google/gemma-3-12b-it,anchor,0.7682926829268293,Formula-Uncertainty-Mean,0.5555555555555556,0.08448203842940682,0.24826651472386307,0.10040066106532647,0.25275853329034,0.061066460119608285,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,google/gemma-3-12b-it,anchor,0.7682926829268293,Hazard-h-Final,0.5476190476190477,0.09241854636591473,0.384318281964558,0.23645242830602137,0.3670345341741312,0.17534246100339948,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,google/gemma-3-12b-it,anchor,0.7682926829268293,Hazard-h-Max,0.5508563074352548,0.08918128654970758,0.38469937952553357,0.23683352586699696,0.36662961801559457,0.17493754484486287,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,google/gemma-3-12b-it,anchor,0.7682926829268293,Hazard-h-Mean,0.5491854636591479,0.09085213032581452,0.28381310439691315,0.13594725073837655,0.28549998999777726,0.09380791682704556,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,google/gemma-3-12b-it,anchor,0.7682926829268293,System-Uncertainty-Final,0.5485588972431078,0.0914786967418546,0.307359095779607,0.1594932421210704,0.30474897497562153,0.11305690180488984,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,google/gemma-3-12b-it,anchor,0.7682926829268293,Uncertainty-Final,0.6400375939849624,0.0,0.1478658536585366,0.0,0.1916920731707317,0.0,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,google/gemma-3-12b-it,anchor,0.7682926829268293,Uncertainty-Max,0.5147243107769424,0.12531328320802004,0.2454268292682927,0.0975609756097561,0.2549542682926829,0.06326219512195122,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,hierarchical,google/gemma-3-12b-it,anchor,0.7682926829268293,Uncertainty-Mean,0.5915831244778613,0.04845446950710108,0.17441565040650409,0.02654979674796748,0.20541952489837395,0.013727451727642254,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_hierarchical_anchor_test_seed42_n164.json
humanevalplus,sequential,Qwen/Qwen3-8B,anchor,0.8902439024390244,Formula-Uncertainty-Final,0.7785388127853882,0.04166666666666663,0.36420943097370434,0.250261260241997,0.22136010465825476,0.1294547227138103,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,Qwen/Qwen3-8B,anchor,0.8902439024390244,Formula-Uncertainty-Max,0.816400304414003,0.003805175038051778,0.38393569574123476,0.26998752500952744,0.2367582602835283,0.14485287833908386,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,Qwen/Qwen3-8B,anchor,0.8902439024390244,Formula-Uncertainty-Mean,0.8091704718417048,0.011035007610350034,0.30496370889307034,0.19101553816136302,0.17238988025558147,0.08048449831113702,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,Qwen/Qwen3-8B,anchor,0.8902439024390244,Hazard-h-Final,0.7663286004056795,0.05387687904637528,0.36681300033757724,0.2528648296058699,0.22187154362966985,0.1299661616852254,162,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,Qwen/Qwen3-8B,anchor,0.8902439024390244,Hazard-h-Max,0.816400304414003,0.003805175038051778,0.38393569574123476,0.26998752500952744,0.2367582602835283,0.14485287833908386,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,Qwen/Qwen3-8B,anchor,0.8902439024390244,Hazard-h-Mean,0.8091704718417048,0.011035007610350034,0.30496370889307034,0.19101553816136302,0.17238988025558147,0.08048449831113702,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,Qwen/Qwen3-8B,anchor,0.8902439024390244,System-Uncertainty-Final,0.8078386605783866,0.012366818873668195,0.3040424669857801,0.19009429625407276,0.17875127349574432,0.08684589155129988,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,Qwen/Qwen3-8B,anchor,0.8902439024390244,Uncertainty-Final,0.7222222222222222,0.09798325722983259,0.12652439024390244,0.012576219512195105,0.09336890243902439,0.0014635204945799424,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,Qwen/Qwen3-8B,anchor,0.8902439024390244,Uncertainty-Max,0.7753044140030442,0.044901065449010624,0.24847560975609753,0.13452743902439018,0.14900914634146342,0.057103764397018975,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,Qwen/Qwen3-8B,anchor,0.8902439024390244,Uncertainty-Mean,0.8202054794520548,0.0,0.11394817073170734,0.0,0.09190538194444445,0.0,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_Qwen_Qwen3-8B_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,google/gemma-3-12b-it,anchor,0.7378048780487805,Formula-Uncertainty-Final,0.640303670959062,0.005862002690755319,0.2731814500762195,0.1757475069867886,0.27357705496251583,0.08017268927823398,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,google/gemma-3-12b-it,anchor,0.7378048780487805,Formula-Uncertainty-Max,0.6176244474341726,0.02854122621564481,0.31787332674352137,0.22043938365409044,0.29684284915466136,0.10343848347037951,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,google/gemma-3-12b-it,anchor,0.7378048780487805,Formula-Uncertainty-Mean,0.6237747453392274,0.022390928310589975,0.22944603896722562,0.13201209587779472,0.24680629950919034,0.05340193382490849,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,google/gemma-3-12b-it,anchor,0.7378048780487805,Hazard-h-Final,0.6452731092436975,0.0008925644061198446,0.28368833529874216,0.18625439220931123,0.27530079231884497,0.08189642663456312,159,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,google/gemma-3-12b-it,anchor,0.7378048780487805,Hazard-h-Max,0.6176244474341726,0.02854122621564481,0.31787332674352137,0.22043938365409044,0.29684284915466136,0.10343848347037951,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,google/gemma-3-12b-it,anchor,0.7378048780487805,Hazard-h-Mean,0.6237747453392274,0.022390928310589975,0.22944603896722562,0.13201209587779472,0.24680629950919034,0.05340193382490849,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,google/gemma-3-12b-it,anchor,0.7378048780487805,System-Uncertainty-Final,0.6237747453392274,0.022390928310589975,0.23864805879796122,0.14121411570853032,0.25240045623375895,0.058996090549477104,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,google/gemma-3-12b-it,anchor,0.7378048780487805,Uncertainty-Final,0.6311743225062464,0.014991351143570975,0.10365853658536589,0.006224593495934974,0.1989329268292683,0.005528561144986455,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_sequential_anchor_test_seed42_n164.json
humanevalplus,sequential,google/gemma-3-12b-it,anchor,0.7378048780487805,Uncertainty-Max,0.5750528541226215,0.07111281952719584,0.16006097560975607,0.06262703252032516,0.21989329268292682,0.026488926998644968,164,/u/yliu105/MAS_UQ/preds/uq/uq_metrics_mas_google_gemma-3-12b-it_humanevalplus_sequential_anchor_test_seed42_n164.json
